ClienteID,Nombre,Edad,Email,FechaRegistro,GastosUltimoMes,Activo
b3ba0246-3b55-42c7-9c0a-4363b33ae601,Aldin,21,ablaik0@illinois.edu,2020-08-17,690.94,true
23dec83f-21d2-48a3-b3d7-832b26e72b26,Alyssa,58,afonte1@cmu.edu,2021-02-27,238.56,false
cbe0c4d7-3d1f-45ee-84f7-8ba5d5470280,Eloise,80,eblamire2@buzzfeed.com,2021-11-02,967.24,false
17be0594-8067-408a-b0e9-aed6fe1770c5,Adelheid,81,amaleham3@taobao.com,,18.47,false
6dfb7f6c-3053-429d-863d-2e41d08c2d87,Rubetta,7,rchastenet4@istockphoto.com,2020-10-29,979.17,false
8f841b88-7686-4faf-bbbb-28e7fae51c07,Josefa,45,jgillibrand5@google.co.jp,2020-09-26,994.55,true
f61a7134-80a6-439e-99d9-1bc7a81f6c28,Hartley,17,holivier6@wikipedia.org,2023-11-20,669.68,true
de1fd57e-56c0-4205-8174-a81ce70a349d,Kat,,ktanguy7@admin.ch,2021-05-21,461.95,false
0222354f-f947-4bc3-a143-4d6d9b5a678b,Jan,41,jgodthaab8@theatlantic.com,2020-07-19,898.17,false
d7bc401c-8d3d-4d72-8fed-acb774462608,Cass,66,csheavills9@soundcloud.com,2021-01-11,605.78,false
31cccae2-af7a-41ed-af1e-ab53853cfd07,Boycey,87,bpiwella@slashdot.org,2020-08-10,787.96,true
0000a364-b549-46f9-b97c-3f71795b902a,Julianna,45,jcordeixb@cnet.com,2021-11-12,406.29,false
d374bf02-d7c4-4416-a2a9-3ec41ad815f4,Odille,63,othamec@reference.com,2023-01-09,813.95,true
4f616c9b-eb24-42c1-8792-a5244666d482,Errol,16,ehaywardd@reference.com,2021-08-21,505.55,true
733b6049-fe75-423c-9356-8515a7146520,Verina,68,vhurlere@mail.ru,2021-04-06,13.98,false
8e1ba0d6-13b2-4d8e-a498-d277189cf22c,Baxter,36,bstalmanf@sbwire.com,2021-06-30,,false
9c2e273a-bec0-48c8-b8ae-dc255a9a0457,Georgi,101,,2022-12-06,83.04,true
91f42e10-dba4-4e25-88ae-ab69b4b7cbad,Arnuad,58,alegisterh@issuu.com,2023-04-08,573.05,true
47895285-f7cb-44fa-add9-f6338ac07f2a,Will,89,wsireti@google.fr,2020-05-15,886.05,true
0b33fe78-30ea-449e-b730-ece756d923d6,Philip,73,pbeadmanj@facebook.com,2021-12-26,605.97,false
9e898df1-d0b8-45a9-bd49-eadf36f38fd2,Creight,104,cgavahank@bloglines.com,2022-02-24,827.8,true
a01ddb2e-70ca-4a00-96b8-d38fe6cfa74d,Leeanne,,legintonl@de.vu,2022-06-04,968.4,true
f340163c-2ee7-4e34-8d29-58e34821f483,Francklyn,,fmcmeekinm@about.me,2023-03-28,41.29,true
b3fe6361-44b9-4f3e-bfe1-0ccba0206f6c,Keene,86,kyankovn@answers.com,2021-04-12,500.73,true
04af7adc-a225-46fa-a786-04104c1e48a5,Chaunce,100,cgathercoalo@latimes.com,2021-09-05,722.93,
da72a395-6b85-43ea-b583-099b8df8fddb,Bendicty,57,bbriggp@wordpress.com,2022-05-14,122.68,true
72789a58-c7e4-47ea-8361-9bed1c0903a3,Salem,4,sdecullipq@posterous.com,2021-02-06,732.12,false
5ec88d5d-8d57-41b8-9d90-c5d6533307aa,Gaelan,45,gbroadr@google.de,2021-12-09,299.76,true
34f28f60-2163-440d-b58f-c78f760abfa7,Violet,105,vhannahs@freewebs.com,2022-10-23,915.19,false
5b7b00cc-5d76-46fd-b8cf-0aa88952f8db,Gorden,84,gtewt@freewebs.com,2022-08-03,287.77,true
8b31a984-3793-40a2-9ec6-82f4a4cfa996,Bartie,15,bcastletonu@forbes.com,2023-08-13,136.46,true
0a00b6f1-8ef3-456c-918b-ef1bd90626ec,Delia,55,dmucklestonv@patch.com,2020-05-06,914.03,true
78e1ea2d-af5b-418f-b68c-ae8b21f2b647,Blakeley,56,bmordiew@ca.gov,2020-09-28,466.99,true
bd6a597b-1ed5-4b6d-9300-e1e9cbf661bf,,88,rstentx@a8.net,2022-12-31,557.41,false
25f1615b-c448-44e4-8b1b-21abfb19e8fd,Sandro,70,,2021-11-18,493.44,true
91f4a755-dcfb-426a-8de7-f78238c9b62f,Gavrielle,65,gprahmz@sina.com.cn,2021-12-17,306.61,true
983cdf16-1601-43fb-80a2-20895d540e25,Dante,79,dgirod10@sitemeter.com,2022-09-13,613.38,true
15cdc878-7fdc-40d8-99ff-a7891a745e01,Lindsy,49,lmaddocks11@tripod.com,2021-08-26,903.18,false
fec4583e-1802-47df-aebe-84ca03da340b,Brnaba,72,bcasillis12@businessweek.com,2023-11-05,636.88,false
f47ae529-66d3-4276-9c8f-b107ceb80238,Cinda,92,cvagges13@goo.gl,2022-02-15,139.75,
3060e69a-f025-49fd-b5cb-47ae8b90b053,Marquita,105,myankeev14@amazon.com,2024-03-16,548.75,true
73b97294-9875-4d0a-9589-b1a7e4f905ba,Willetta,92,wnosworthy15@de.vu,2024-02-27,404.28,true
b19624cb-d08a-4043-86cd-907dab8319c1,Gwyneth,105,gsanders16@theatlantic.com,2022-03-01,585.94,true
deead698-556d-4715-a9d1-20949750a799,Collete,56,csuston17@cisco.com,2020-12-01,485.73,false
81c9b3d5-9a96-47c4-a350-10f0ba0c8d5b,Rickard,37,raddey18@usgs.gov,2022-01-27,297.17,false
e900fd58-a8a7-4e5b-8c7e-5692c1d63e07,Carmelina,63,cchalker19@ameblo.jp,2022-06-02,,false
59dc64de-2636-4040-855a-ecda79877244,Marc,31,mmara1a@mayoclinic.com,2023-07-16,401.39,true
52231bfc-bdd0-49a7-b48e-c4eac41a261d,Chilton,57,cjursch1b@mail.ru,2022-06-11,53.45,true
be989684-86ce-4fdb-af2a-df9d00c08304,Samara,98,skleinhausen1c@sciencedaily.com,2021-08-20,547.47,
83fe6a0e-b356-434f-9e6e-4a7a36758972,Leesa,72,lbanasik1d@answers.com,2021-09-03,214.9,false
,Flem,64,fkowal1e@drupal.org,2023-06-12,997.45,true
e7af6663-d3bb-4508-b170-1d7be5807d62,Desdemona,57,dderoeck1f@trellian.com,2021-11-17,587.55,true
f8f3df6a-4782-4c2b-a90a-8c45be24c665,Jocelyn,101,jharmant1g@csmonitor.com,2020-12-31,354.93,false
c238c032-5646-413d-9543-1cb9e99eccc0,Amandie,86,apietersma1h@surveymonkey.com,2023-04-24,11.03,true
013381a7-1c72-444f-9ef9-e7a031fa30c8,Nariko,75,ngotcliff1i@soundcloud.com,2020-08-31,548.42,true
780a1e4f-1d61-4a1d-9361-fe029a4cb369,Julie,34,jstuckey1j@printfriendly.com,2022-10-15,840.57,true
05c839f5-e01e-4898-8ba8-de53c49a9f4b,Masha,16,mmcilwrick1k@imgur.com,2022-04-20,124.35,false
2b9487eb-61ef-42a1-af7e-ba4f3b4ec137,Brandice,81,bparmley1l@photobucket.com,2023-11-13,784.71,true
264e5832-7108-43c9-939c-7e8df4ff1176,Yorgos,6,ylivingston1m@wikimedia.org,2022-08-17,487.21,true
627c61ae-7fed-47b5-ae99-d59cb562a1a9,Lura,95,ldemullett1n@latimes.com,2023-10-07,988.0,true
5e08078d-d7d4-4e86-9b06-124c695d4575,,80,jnewland1o@kickstarter.com,2023-04-19,137.79,false
5a7ac0c0-bec3-4d52-b325-62c95e072a77,Caye,,ctower1p@google.com.hk,2021-11-28,522.03,true
b72bb1a9-6e2f-47cd-99c3-b35c70116c1b,Sheelah,107,sanstead1q@furl.net,2024-01-01,924.08,false
b5f7659d-1d86-4631-bcdd-03d3f2c8a3e4,,31,eeilhermann1r@scribd.com,2023-04-30,113.41,true
